 Timestamp,Source,Speed (kn),,Longitude (°),Latitude (°),lon2,lat2,Course (°)
2018-02-09 01:27 (UTC),Terr-AIS,139,,-43.0353,53.33625,,,197
2018-02-09 01:31 (UTC),Terr-AIS,136,,-43.10221,53.21338,,,198
2018-02-09 01:33 (UTC),Terr-AIS,141,,-43.17842,53.08501,,,198
2018-02-09 01:35 (UTC),Terr-AIS,141,,-43.26229,52.95369,,,200
2018-02-09 01:37 (UTC),Terr-AIS,143,,-43.27376,52.93524,-43.618889,52.267222,202
2018-02-09 01:41 (UTC),Terr-AIS,135,,-43.37009,52.76257,-43.619167,52.252222,195
2018-02-09 01:43 (UTC),Terr-AIS,140,,-43.41767,52.67274,,,199
2018-02-09 01:45 (UTC),Terr-AIS,141,,-43.47408,52.57019,,,196
2018-02-09 01:48 (UTC),Terr-AIS,141,,-43.52553,52.47741,,,196
2018-02-09 01:50 (UTC),Terr-AIS,126,,-43.57701,52.38272,,,197
2018-02-09 01:52 (UTC),Terr-AIS,124,,-43.62218,52.29067,,,195
2018-02-09 01:54 (UTC),Terr-AIS,133,,-43.65977,52.21039,,,193
2018-02-09 01:57 (UTC),Terr-AIS,127,,-43.70234,52.12802,,,199
2018-02-09 02:00 (UTC),Terr-AIS,123,,-43.73659,52.06384,,,199
2018-02-09 02:02 (UTC),Terr-AIS,125,,-43.75211,52.03552,,,200
